2026-08-20 21:22:53 | INFO     | Loaded page 275 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:54 | INFO     | Loaded page 276 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:54 | INFO     | Loaded page 277 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:55 | INFO     | Loaded page 278 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:55 | INFO     | Loaded page 279 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:55 | INFO     | Loaded page 280 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:56 | INFO     | Loaded page 281 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:56 | INFO     | Loaded page 282 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:57 | INFO     | Loaded page 283 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:57 | INFO     | Loaded page 284 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:58 | INFO     | Loaded page 285 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:58 | INFO     | Loaded page 286 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:58 | INFO     | Loaded page 287 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:59 | INFO     | Loaded page 288 into the database successfully.    | main_bronze.py:37
2026-08-20 21:22:59 | INFO     | Loaded page 289 into the database successfully.    | main_bronze.py:37
2026-08-20 21:23:00 | INFO     | Loaded page 290 into the database successfully.    | main_bronze.py:37
2026-08-20 21:23:00 | INFO     | Loaded page 291 into the database successfully.    | main_bronze.py:37
2026-08-20 21:23:01 | INFO     | Loaded page 292 into the database successfully.    | main_bronze.py:37
2026-08-20 21:23:01 | INFO     | Loaded page 293 into the database successfully.    | main_bronze.py:37
2026-08-20 21:23:02 | INFO     | Loaded page 294 into the database successfully.    | main_bronze.py:37
2026-08-20 21:23:02 | INFO     | Loaded page 295 into the database successfully.    | main_bronze.py:37
2026-08-20 21:23:02 | INFO     | Loaded page 296 into the database successfully.    | main_bronze.py:37
2026-08-20 21:23:03 | INFO     | Loaded page 297 into the database successfully.    | main_bronze.py:37
2026-08-20 21:23:03 | INFO     | Loaded page 298 into the database successfully.    | main_bronze.py:37
2026-08-20 21:23:04 | INFO     | Loaded page 299 into the database successfully.    | main_bronze.py:37
2026-08-20 21:23:04 | INFO     | Loaded page 300 into the database successfully.    | main_bronze.py:37
2026-08-20 21:23:05 | INFO     | Loaded page 301 into the database successfully.    | main_bronze.py:37
